ms,field,spw,I,Q,U,V,spix,comment
uid___A002_Xd395f6_X1401a.ms,0,22,1.0668,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0859Jy, freq=259.380GHz, spec_index=-0.645+-0.061, Band3/7_separation=0 days, spixAge=+0 days, Band3age=0 days, setjy parameters for field 0 (J0006-0623): spix=-0.6452, reffreq='259.3798GHz', fluxdensity=[1.066807,0,0,0]"
uid___A002_Xd395f6_X1401a.ms,0,24,1.0708,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0856Jy, freq=257.880GHz"
uid___A002_Xd395f6_X1401a.ms,0,26,1.1101,0.0,0.0,0.0,-0.645230946754,"# field=J0006-0623 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0840Jy, freq=243.865GHz"
uid___A002_Xd395f6_X1401a.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=259.380GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-20 days, Band3age=-20 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3798GHz', fluxdensity=[0.183240,0,0,0]"
uid___A002_Xd395f6_X1401a.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=257.880GHz"
uid___A002_Xd395f6_X1401a.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0164Jy, freq=243.865GHz"
uid___A002_Xd16a1e_X4327.ms,0,22,4.3107,0.0,0.0,0.0,-0.237728603621,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1957Jy, freq=259.394GHz, spec_index=-0.238+-0.014, Band3/7_separation=3 days, spixAge=+0 days, Band3age=0 days, setjy parameters for field 0 (J0522-3627): spix=-0.2377, reffreq='259.3939GHz', fluxdensity=[4.310706,0,0,0]"
uid___A002_Xd16a1e_X4327.ms,0,24,4.3167,0.0,0.0,0.0,-0.237728603621,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1944Jy, freq=257.894GHz"
uid___A002_Xd16a1e_X4327.ms,0,26,4.3744,0.0,0.0,0.0,-0.237728603621,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1900Jy, freq=243.879GHz"
uid___A002_Xd16a1e_X4327.ms,1,22,0.1654,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0140Jy, freq=259.394GHz, spec_index=-0.874+-0.113, Band3/7_separation=0 days, spixAge=+23 days, Band3age=23 days, setjy parameters for field 1 (J0329-2357): spix=-0.8738, reffreq='259.3939GHz', fluxdensity=[0.165426,0,0,0]"
uid___A002_Xd16a1e_X4327.ms,1,24,0.1663,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0141Jy, freq=257.894GHz"
uid___A002_Xd16a1e_X4327.ms,1,26,0.1746,0.0,0.0,0.0,-0.873845359658,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0141Jy, freq=243.879GHz"
uid___A002_Xd271e2_X9680.ms,0,22,4.0469,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1776Jy, freq=259.388GHz, spec_index=-0.269+-0.022, Band3/7_separation=3 days, spixAge=+2 days, Band3age=2 days, setjy parameters for field 0 (J0522-3627): spix=-0.2686, reffreq='259.3878GHz', fluxdensity=[4.046930,0,0,0]"
uid___A002_Xd271e2_X9680.ms,0,24,4.0532,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1773Jy, freq=257.888GHz"
uid___A002_Xd271e2_X9680.ms,0,26,4.1145,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1706Jy, freq=243.873GHz"
uid___A002_Xd271e2_X9680.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0162Jy, freq=259.388GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-46 days, Band3age=-46 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3878GHz', fluxdensity=[0.183236,0,0,0]"
uid___A002_Xd271e2_X9680.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0161Jy, freq=257.888GHz"
uid___A002_Xd271e2_X9680.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0164Jy, freq=243.873GHz"
uid___A002_Xd271e2_X9993.ms,0,22,4.0469,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1762Jy, freq=259.388GHz, spec_index=-0.269+-0.022, Band3/7_separation=3 days, spixAge=+2 days, Band3age=2 days, setjy parameters for field 0 (J0522-3627): spix=-0.2686, reffreq='259.3877GHz', fluxdensity=[4.046931,0,0,0]"
uid___A002_Xd271e2_X9993.ms,0,24,4.0532,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1755Jy, freq=257.888GHz"
uid___A002_Xd271e2_X9993.ms,0,26,4.1145,0.0,0.0,0.0,-0.268620607596,"# field=J0522-3627 intents=AMPLITUDE,ATMOSPHERE,BANDPASS,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.1713Jy, freq=243.873GHz"
uid___A002_Xd271e2_X9993.ms,1,22,0.1832,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=259.388GHz, spec_index=-0.710+-0.097, Band3/7_separation=0 days, spixAge=-46 days, Band3age=-46 days, setjy parameters for field 1 (J0329-2357): spix=-0.7099, reffreq='259.3877GHz', fluxdensity=[0.183236,0,0,0]"
uid___A002_Xd271e2_X9993.ms,1,24,0.1840,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=257.888GHz"
uid___A002_Xd271e2_X9993.ms,1,26,0.1914,0.0,0.0,0.0,-0.70986723318,"# field=J0329-2357 intents=ATMOSPHERE,PHASE,POINTING,WVR origin=Source.xml age=N/A queried_at=N/A # +-0.0163Jy, freq=243.873GHz"
